18 Feb 2019 | 08:00:31,791 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: check leader terminator Friedhof 
18 Feb 2019 | 08:00:31,791 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: check leader test TESTBEST 
18 Feb 2019 | 08:00:31,791 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: check leader mj2804 FAIR 
18 Feb 2019 | 08:00:31,791 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: check leader angelus SEK 
18 Feb 2019 | 08:00:31,791 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: check leader natali_test2 new 
18 Feb 2019 | 08:00:31,791 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: check leader test123 T20Alliance 
18 Feb 2019 | 08:00:31,791 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: AlliancesTask end! 
18 Feb 2019 | 08:00:37,240 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: game task number 2 reporting in 
18 Feb 2019 | 08:00:43,705 | INFO  | pool-1-thread-1 | Extensions |     | {Game}: start saving 1 
18 Feb 2019 | 08:00:43,713 | INFO  | pool-1-thread-1 | Extensions |     | {Game}: stop saving 1 
18 Feb 2019 | 08:00:43,903 | INFO  | pool-1-thread-1 | Extensions |     | {Game}: start saving tutorial 
18 Feb 2019 | 08:00:43,904 | INFO  | pool-1-thread-1 | Extensions |     | {Game}: stop saving tutorial 
18 Feb 2019 | 08:00:43,905 | INFO  | pool-1-thread-4 | Extensions |     | {Game}: deleted 0 units 
18 Feb 2019 | 08:00:44,891 | INFO  | pool-1-thread-1 | Extensions |     | {Game}: start saving 2 
18 Feb 2019 | 08:00:44,914 | INFO  | pool-1-thread-1 | Extensions |     | {Game}: stop saving 2 
18 Feb 2019 | 08:00:45,235 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: game task number 3 reporting in 
18 Feb 2019 | 08:00:45,510 | INFO  | pool-1-thread-3 | Extensions |     | {Game}: start saving 3 
18 Feb 2019 | 08:00:45,524 | INFO  | pool-1-thread-3 | Extensions |     | {Game}: stop saving 3 
18 Feb 2019 | 08:00:46,536 | INFO  | pool-1-thread-1 | Extensions |     | {Game}: start saving 4 
18 Feb 2019 | 08:00:46,563 | INFO  | pool-1-thread-1 | Extensions |     | {Game}: stop saving 4 
18 Feb 2019 | 08:00:47,052 | INFO  | pool-1-thread-4 | Extensions |     | {Game}: start saving 5 
18 Feb 2019 | 08:00:47,053 | INFO  | pool-1-thread-4 | Extensions |     | {Game}: stop saving 5 
18 Feb 2019 | 08:00:47,895 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: start saving 6 
18 Feb 2019 | 08:00:47,899 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: stop saving 6 
18 Feb 2019 | 08:00:48,386 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: start saving 7 
18 Feb 2019 | 08:00:48,388 | INFO  | pool-1-thread-2 | Extensions |     | {Game}: stop saving 7 
18 Feb 2019 | 08:00:49,114 | INFO  | New I/O worker #4 | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 25619, Type: WEBSOCKET, Logged: No, IP: 192.168.10.120:50900 }
